Frame,Time,Accl,Accl,Accl,Gyro,Gyro,Gyro,Mag,Mag,Mag
,,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,0.740000,0.100000,9.150000,-33.020000,6.460000,-6.970000,-68.000000,29.000000,-55.000000
1.000000,0.010000,0.740000,0.100000,9.150000,-48.925858,3.379937,-10.302834,-68.000000,29.000000,-55.000000
2.000000,0.020000,0.740000,0.100000,9.150000,-69.519051,-0.015151,-8.065300,-68.000000,29.000000,-55.000000
3.000000,0.030000,0.740000,0.100000,9.150000,-91.978012,-3.642769,-2.604844,-68.000000,29.000000,-55.000000
4.000000,0.040000,0.740000,0.100000,9.150000,-116.243935,-7.518943,6.196197,-68.000000,29.000000,-55.000000
5.000000,0.050000,0.740000,0.100000,9.150000,-121.675125,-26.213947,29.842304,-60.811676,29.000000,-59.792217
6.000000,0.060000,0.050671,-2.400240,7.523365,-124.510002,-44.540058,45.769028,-56.000000,29.000000,-63.000000
7.000000,0.070000,-1.845070,-9.276210,3.049918,-124.510002,-60.875961,46.838902,-56.000000,29.000000,-63.000000
8.000000,0.080000,-2.290000,-10.890000,2.000000,-77.940620,-73.870651,36.826893,-56.000000,29.000000,-63.000000
9.000000,0.090000,-2.290000,-10.890000,2.000000,-12.833292,-83.558235,26.193211,-56.000000,29.000000,-63.000000
10.000000,0.100000,-2.290000,-10.890000,2.000000,81.520515,-77.562004,34.641014,-56.000000,29.000000,-63.000000
11.000000,0.110000,-2.290000,-10.890000,2.000000,124.510002,-68.230888,39.088970,-56.000000,29.000000,-63.000000
12.000000,0.120000,-2.290000,-10.890000,2.000000,124.510002,-56.108627,40.189247,-56.000000,29.000000,-63.000000
13.000000,0.130000,-3.740136,-16.254276,0.451550,124.510002,-50.466568,-7.134491,-56.000000,29.000000,-63.000000
14.000000,0.140000,-4.650000,-19.620001,-0.520000,124.510002,-46.007149,-49.292946,-65.881378,31.892111,-52.877617
15.000000,0.150000,-4.650000,-19.620001,-0.520000,124.510002,-43.242191,-81.688744,-91.587357,39.415810,-26.544666
16.000000,0.160000,-4.650000,-19.620001,-0.520000,124.510002,-36.200684,-66.433670,-97.000000,41.000000,-21.000000
17.000000,0.170000,-4.650000,-19.620001,-0.520000,124.510002,-34.688766,-30.548981,-97.000000,41.000000,-21.000000
18.000000,0.180000,-4.650000,-19.620001,-0.520000,124.510002,-61.236553,38.653454,-97.000000,41.000000,-21.000000
19.000000,0.190000,-2.567276,-5.138322,-3.625357,124.510002,-71.731438,72.376022,-97.000000,41.000000,-21.000000
20.000000,0.200000,0.910000,19.040001,-8.810000,124.478188,-71.406624,82.218269,-97.000000,41.000000,-21.000000
21.000000,0.210000,0.910000,19.040001,-8.810000,93.889725,-29.698414,32.479134,-97.000000,41.000000,-21.000000
22.000000,0.220000,0.910000,19.040001,-8.810000,56.638214,4.828534,-8.445724,-97.000000,41.000000,-21.000000
23.000000,0.230000,0.910000,19.040001,-8.810000,7.850182,26.921713,-34.109386,-97.000000,41.000000,-21.000000
24.000000,0.240000,0.910000,19.040001,-8.810000,-41.928051,43.821842,-49.171440,-97.000000,41.000000,-21.000000
25.000000,0.250000,2.445854,18.852182,-6.568159,-78.080467,53.576534,-49.614506,-99.530899,41.266411,-18.069489
26.000000,0.260000,9.696606,17.965488,4.015550,-62.692276,41.143982,-4.644753,-111.479233,42.524128,-4.234577
27.000000,0.270000,12.440000,17.629999,8.020000,-47.314873,33.406811,18.596018,-116.000000,43.000000,1.000000
28.000000,0.280000,12.440000,17.629999,8.020000,-31.128353,28.393965,28.468584,-116.000000,43.000000,1.000000
29.000000,0.290000,12.440000,17.629999,8.020000,16.727055,18.197430,32.792866,-116.000000,43.000000,1.000000
30.000000,0.300000,12.440000,17.629999,8.020000,48.362766,12.868577,32.572826,-116.000000,43.000000,1.000000
31.000000,0.310000,12.440000,17.629999,8.020000,58.451401,14.006205,26.315872,-116.000000,43.000000,1.000000
32.000000,0.320000,4.391665,8.811191,9.857686,59.769146,16.651983,8.351622,-116.000000,43.000000,1.000000
33.000000,0.330000,-3.020000,0.690000,11.550000,56.918148,18.358969,-6.799312,-116.000000,43.000000,1.000000
34.000000,0.340000,-3.020000,0.690000,11.550000,46.400925,16.023895,-5.058962,-116.000000,43.000000,1.000000
35.000000,0.350000,-3.020000,0.690000,11.550000,37.377533,12.875381,-1.688505,-116.801605,43.801605,3.404820
36.000000,0.360000,-2.950127,0.918675,11.480430,28.728804,9.106347,2.692819,-118.000000,45.000000,7.000000
37.000000,0.370000,-1.407680,5.966684,9.944659,10.159340,1.961677,8.936059,-118.000000,45.000000,7.000000
38.000000,0.380000,-0.710000,8.250000,9.250000,-1.524597,-3.042582,12.949061,-118.000000,45.000000,7.000000
39.000000,0.390000,-0.710000,8.250000,9.250000,-7.341665,-6.163859,14.839659,-118.000000,45.000000,7.000000
40.000000,0.400000,-0.710000,8.250000,9.250000,-10.082268,-7.317797,11.942271,-118.000000,45.000000,7.000000
41.000000,0.410000,-0.710000,8.250000,9.250000,-10.400784,-8.124680,8.493431,-118.000000,45.000000,7.000000
42.000000,0.420000,-0.710000,8.250000,9.250000,-7.885122,-8.525458,4.399316,-118.000000,45.000000,7.000000
