Frame,Time,Accl,Accl,Accl,Gyro,Gyro,Gyro,Mag,Mag,Mag
,,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,0.090000,-0.890000,9.430000,-36.459999,-0.490000,-15.910000,-65.000000,15.000000,-62.000000
1.000000,0.010000,0.090000,-0.890000,9.430000,-36.459999,-0.490000,-15.910000,-65.000000,15.000000,-62.000000
2.000000,0.020000,0.090000,-0.890000,9.430000,-43.737614,0.087416,-15.719344,-65.000000,15.000000,-62.000000
3.000000,0.030000,0.090000,-0.890000,9.430000,-55.591743,3.279221,-14.860395,-65.000000,15.000000,-62.000000
4.000000,0.040000,0.090000,-0.890000,9.430000,-76.267136,12.984127,-12.354286,-65.000000,15.000000,-62.000000
5.000000,0.050000,0.090000,-0.890000,9.430000,-96.515526,18.196709,-13.078865,-65.000000,15.000000,-62.000000
6.000000,0.060000,0.115094,-1.087901,9.280577,-115.264122,20.742294,-15.026429,-65.000000,15.000000,-62.000000
7.000000,0.070000,0.390671,-3.261201,7.639641,-121.019920,17.472948,-14.218488,-65.000000,15.000000,-62.000000
8.000000,0.080000,0.530000,-4.360000,6.810000,-116.530022,12.480131,-16.216894,-59.833687,15.607801,-64.431206
9.000000,0.090000,0.530000,-4.360000,6.810000,-101.562721,5.724870,-21.085108,-49.384239,16.837149,-69.348595
10.000000,0.100000,0.530000,-4.360000,6.810000,-67.435486,3.085512,-36.549946,-48.000000,17.000000,-70.000000
11.000000,0.110000,0.530000,-4.360000,6.810000,-14.757252,-1.219939,-56.021774,-48.000000,17.000000,-70.000000
12.000000,0.120000,0.530000,-4.360000,6.810000,77.872131,-11.392227,-81.601624,-48.000000,17.000000,-70.000000
13.000000,0.130000,-0.579504,-10.278830,9.161619,113.718933,-20.587311,-76.970818,-48.000000,17.000000,-70.000000
14.000000,0.140000,-1.980000,-17.750000,12.130000,124.095184,-28.878300,-59.025093,-48.000000,17.000000,-70.000000
15.000000,0.150000,-1.980000,-17.750000,12.130000,120.314476,-33.146439,-35.465981,-48.000000,17.000000,-70.000000
16.000000,0.160000,-1.980000,-17.750000,12.130000,82.369766,-39.460293,9.029423,-48.000000,17.000000,-70.000000
17.000000,0.170000,-1.980000,-17.750000,12.130000,11.533760,-47.743660,73.681183,-48.000000,17.000000,-70.000000
18.000000,0.180000,-1.980000,-17.750000,12.130000,-20.188616,-53.993870,101.037125,-53.171635,16.425373,-67.126869
19.000000,0.190000,-2.750124,-14.442416,10.957042,-36.769604,-61.678368,116.761925,-57.000000,16.000000,-65.000000
20.000000,0.200000,-5.155408,-4.112029,7.293609,-28.585472,-72.792015,114.831528,-57.000000,16.000000,-65.000000
21.000000,0.210000,-5.880000,-1.000000,6.190000,18.905756,-82.198074,102.361023,-57.000000,16.000000,-65.000000
22.000000,0.220000,-5.880000,-1.000000,6.190000,77.305298,-90.976639,88.898537,-57.000000,16.000000,-65.000000
23.000000,0.230000,-5.880000,-1.000000,6.190000,95.332184,-100.481956,99.187088,-57.000000,16.000000,-65.000000
24.000000,0.240000,-5.880000,-7.389402,4.481246,87.047867,-111.208939,110.858582,-57.000000,16.000000,-65.000000
25.000000,0.250000,-5.880000,-19.351213,1.282229,55.816681,-123.001389,123.736191,-57.000000,16.000000,-65.000000
26.000000,0.260000,1.872198,-20.070000,1.090000,71.973923,-114.730789,124.472244,-57.000000,16.000000,-65.000000
27.000000,0.270000,6.440000,-20.070000,1.090000,95.084000,-74.716560,65.681976,-59.978764,26.723549,-59.340351
28.000000,0.280000,6.440000,-20.070000,1.090000,123.063728,3.107285,-66.031708,-66.654907,50.757675,-46.655670
29.000000,0.290000,6.440000,-20.070000,1.090000,124.510002,34.599922,-103.503540,-67.000000,52.000000,-46.000000
30.000000,0.300000,6.440000,-20.070000,1.090000,124.510002,48.248528,-118.283691,-67.000000,52.000000,-46.000000
31.000000,0.310000,6.440000,-20.070000,1.090000,124.510002,33.912216,-100.993752,-67.000000,52.000000,-46.000000
32.000000,0.320000,2.998533,-12.442838,-7.333534,124.510002,-41.533718,7.583229,-67.000000,52.000000,-46.000000
33.000000,0.330000,-0.820000,-3.980000,-16.680000,124.510002,-121.604042,120.494156,-67.000000,52.000000,-46.000000
34.000000,0.340000,-0.820000,-3.980000,-16.680000,124.510002,-123.115227,102.685944,-67.000000,52.000000,-46.000000
35.000000,0.350000,-0.820000,-3.980000,-16.680000,111.174202,-96.896393,55.806061,-67.000000,52.000000,-46.000000
36.000000,0.360000,-0.820000,-3.980000,-16.680000,87.642654,-49.476860,-13.300270,-67.000000,52.000000,-46.000000
37.000000,0.370000,-0.820000,10.618441,-7.061061,37.388611,-30.408510,-18.369816,-104.042633,48.356461,0.151478
38.000000,0.380000,1.510623,20.059999,-0.840000,-15.401383,-14.036697,-16.327330,-128.000000,46.000000,30.000000
39.000000,0.390000,7.738737,20.059999,-0.840000,-70.935402,-0.586222,-5.978404,-128.000000,46.000000,30.000000
40.000000,0.400000,9.140000,20.059999,-0.840000,-65.898499,17.639799,2.757330,-128.000000,46.000000,30.000000
41.000000,0.410000,9.140000,20.059999,-0.840000,-39.236931,33.209896,11.948339,-128.000000,46.000000,30.000000
42.000000,0.420000,9.140000,20.059999,-0.840000,5.882889,30.313826,25.358543,-128.000000,46.000000,30.000000
43.000000,0.430000,9.140000,20.059999,5.233494,40.482189,24.500105,13.871980,-128.000000,46.000000,30.000000
44.000000,0.440000,8.289197,18.156488,12.460000,64.376213,17.974419,-4.798489,-128.000000,46.000000,30.000000
45.000000,0.450000,3.705127,7.900496,12.460000,62.577797,14.226675,-4.628708,-128.000000,46.000000,30.000000
46.000000,0.460000,1.850000,3.750000,12.460000,59.278706,4.992398,7.021993,-128.000000,46.000000,30.000000
47.000000,0.470000,1.850000,3.750000,12.460000,54.959461,-7.971608,26.477392,-128.000000,46.000000,30.000000
48.000000,0.480000,1.850000,3.750000,12.460000,46.999870,-8.375007,26.532501,-128.000000,48.500042,30.000000
49.000000,0.490000,1.850000,3.750000,12.460000,34.467278,-5.291056,21.465794,-128.000000,50.000000,30.000000
50.000000,0.500000,1.850000,3.750000,12.460000,15.125259,2.953686,8.822630,-128.000000,50.000000,30.000000
