Frame,Time,Accl,Accl,Accl,Gyro,Gyro,Gyro,Mag,Mag,Mag
,,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,-1.130000,1.060000,9.980000,-22.799999,13.660000,-19.820000,-77.000000,-16.000000,-47.000000
1.000000,0.010000,-1.130000,1.060000,9.980000,-26.792492,16.271782,-30.335146,-77.000000,-16.000000,-47.000000
2.000000,0.020000,-0.921266,1.251901,9.754433,-33.733482,16.048962,-41.003349,-77.000000,-16.000000,-47.000000
3.000000,0.030000,-0.527235,1.614155,9.328625,-43.291916,13.309811,-51.807426,-77.000000,-16.000000,-47.000000
4.000000,0.040000,-0.510000,1.630000,9.310000,-55.226719,7.065362,-66.342644,-77.000000,-16.000000,-47.000000
5.000000,0.050000,-0.510000,1.630000,9.310000,-76.124489,-9.682933,-77.999710,-77.000000,-16.000000,-47.000000
6.000000,0.060000,-0.510000,1.630000,9.310000,-112.512970,-44.527397,-84.322815,-77.000000,-16.000000,-47.000000
7.000000,0.070000,-0.510000,1.630000,9.310000,-123.314087,-85.570312,-40.149261,-68.189407,-17.391146,-53.955734
8.000000,0.080000,-0.841581,0.274418,8.563943,-124.510002,-122.443329,20.274755,-58.000000,-19.000000,-62.000000
9.000000,0.090000,-2.995825,-8.532638,3.716894,-124.510002,-123.894279,68.187668,-58.000000,-19.000000,-62.000000
10.000000,0.100000,-3.910000,-12.270000,1.660000,-113.366188,-124.510002,101.465958,-58.000000,-19.000000,-62.000000
11.000000,0.110000,-3.910000,-12.270000,1.660000,-94.007202,-124.510002,123.955627,-58.000000,-19.000000,-62.000000
12.000000,0.120000,-3.910000,-12.270000,1.660000,-31.541088,-124.510002,124.510002,-58.000000,-19.000000,-62.000000
13.000000,0.130000,-3.910000,-12.270000,1.660000,35.529709,-123.359291,119.621239,-58.000000,-19.000000,-62.000000
14.000000,0.140000,-3.910000,-12.270000,1.660000,108.388527,-120.313858,106.682877,-58.000000,-19.000000,-62.000000
15.000000,0.150000,0.813210,-16.103615,-0.822020,124.510002,-51.042870,33.109474,-58.000000,-19.000000,-62.000000
16.000000,0.160000,5.700000,-20.070000,-3.390000,124.510002,24.674549,-45.828194,-61.043716,-14.495297,-59.686775
17.000000,0.170000,5.700000,-20.070000,-3.390000,124.510002,49.093216,-75.566711,-76.708763,8.688967,-47.781342
18.000000,0.180000,5.700000,-20.070000,-3.390000,124.510002,59.905678,-85.820160,-83.000000,18.000000,-43.000000
19.000000,0.190000,5.700000,-20.070000,-3.390000,124.510002,61.586319,-82.996185,-83.000000,18.000000,-43.000000
20.000000,0.200000,5.700000,-20.070000,-3.390000,124.510002,38.448174,-43.066605,-83.000000,18.000000,-43.000000
21.000000,0.210000,3.453424,-10.530847,-2.731607,124.510002,-9.950272,16.691879,-83.000000,18.000000,-43.000000
22.000000,0.220000,-2.152505,13.272408,-1.088706,124.510002,-96.039536,105.979156,-83.000000,18.000000,-43.000000
23.000000,0.230000,-3.240000,17.889999,-0.770000,108.909775,-116.992310,123.764626,-83.000000,18.000000,-43.000000
24.000000,0.240000,-3.240000,17.889999,-0.770000,90.208237,-115.675125,120.148788,-83.000000,18.000000,-43.000000
25.000000,0.250000,-3.240000,17.889999,-0.770000,73.964073,-89.560371,100.764839,-83.000000,18.000000,-43.000000
26.000000,0.260000,-3.240000,17.889999,-0.770000,43.342628,-45.159824,49.621391,-83.000000,18.000000,-43.000000
27.000000,0.270000,-2.253715,17.837767,0.309229,4.786937,4.505987,-15.578229,-84.689896,19.613083,-41.002850
28.000000,0.280000,5.770733,17.412796,9.089874,-25.992195,9.843121,-38.832878,-98.438950,32.737179,-24.753967
29.000000,0.290000,9.600000,17.209999,13.280000,-59.334541,17.266253,-44.666275,-105.000000,39.000000,-17.000000
30.000000,0.300000,9.600000,17.209999,13.280000,-95.016525,26.593441,-34.597939,-105.000000,39.000000,-17.000000
31.000000,0.310000,9.600000,17.209999,13.280000,-72.252914,27.992563,-19.729668,-105.000000,39.000000,-17.000000
32.000000,0.320000,9.600000,17.209999,13.280000,-38.804596,27.959621,-1.855357,-105.000000,39.000000,-17.000000
33.000000,0.330000,9.600000,17.209999,13.280000,7.191967,26.258823,21.267982,-105.000000,39.000000,-17.000000
34.000000,0.340000,4.436365,8.064433,12.443151,27.634119,24.421383,27.209068,-105.000000,39.000000,-17.000000
35.000000,0.350000,-1.630000,-2.680000,11.460000,36.766533,22.749174,25.740749,-105.000000,39.000000,-17.000000
36.000000,0.360000,-1.630000,-2.680000,11.460000,32.155109,22.447197,16.278831,-105.000000,39.000000,-17.000000
37.000000,0.370000,-1.630000,-2.680000,11.460000,20.486782,20.724148,10.281361,-104.316444,36.949329,-18.708893
38.000000,0.380000,-1.630000,-2.680000,11.460000,2.942812,17.817900,7.168418,-103.063751,33.191250,-21.840626
39.000000,0.390000,-1.630000,-2.680000,11.460000,-3.674069,17.201397,3.729782,-103.000000,33.000000,-22.000000
40.000000,0.400000,-1.406188,-1.025543,11.172554,-9.805211,16.636438,0.341189,-103.000000,33.000000,-22.000000
41.000000,0.410000,-0.764964,3.714479,10.349023,-16.123144,15.938638,-2.921505,-103.000000,33.000000,-22.000000
42.000000,0.420000,-0.610000,4.860000,10.150000,-20.044113,13.954126,-3.770867,-103.000000,33.000000,-22.000000
43.000000,0.430000,-0.610000,4.860000,10.150000,-22.376574,11.899180,-4.102746,-103.000000,33.000000,-22.000000
44.000000,0.440000,-0.610000,4.860000,10.150000,-22.401535,10.794580,-5.138698,-103.000000,33.000000,-22.000000
