Frame,Time,NOSE,NOSE,NOSE,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE,LEFT_EYE,LEFT_EYE_OUTER,LEFT_EYE_OUTER,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,LEFT_EAR,LEFT_EAR,LEFT_EAR,RIGHT_EAR,RIGHT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_LEFT,MOUTH_LEFT,MOUTH_RIGHT,MOUTH_RIGHT,MOUTH_RIGHT,LEFT_SHOULDER,LEFT_SHOULDER,LEFT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,LEFT_ELBOW,LEFT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,LEFT_WRIST,LEFT_WRIST,RIGHT_WRIST,RIGHT_WRIST,RIGHT_WRIST,LEFT_PINKY,LEFT_PINKY,LEFT_PINKY,RIGHT_PINKY,RIGHT_PINKY,RIGHT_PINKY,LEFT_INDEX,LEFT_INDEX,LEFT_INDEX,RIGHT_INDEX,RIGHT_INDEX,RIGHT_INDEX,LEFT_THUMB,LEFT_THUMB,LEFT_THUMB,RIGHT_THUMB,RIGHT_THUMB,RIGHT_THUMB,LEFT_HIP,LEFT_HIP,LEFT_HIP,RIGHT_HIP,RIGHT_HIP,RIGHT_HIP,LEFT_KNEE,LEFT_KNEE,LEFT_KNEE,RIGHT_KNEE,RIGHT_KNEE,RIGHT_KNEE,LEFT_ANKLE,LEFT_ANKLE,LEFT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,LEFT_HEEL,LEFT_HEEL,RIGHT_HEEL,RIGHT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,0.523768,0.397096,-0.866859,0.547232,0.325956,-0.813186,0.559728,0.325273,-0.813200,0.570961,0.326344,-0.813564,0.500606,0.326810,-0.808132,0.485086,0.326941,-0.807235,0.469999,0.329122,-0.807482,0.585948,0.347331,-0.459766,0.448346,0.353198,-0.418998,0.550429,0.470731,-0.743395,0.496969,0.476532,-0.729677,0.702406,0.696149,-0.281125,0.343345,0.723211,-0.241872,0.887584,0.937345,-0.147248,0.158634,0.968840,-0.311076,1.079862,1.196072,-0.357518,-0.056026,1.287839,-0.832529,1.140135,1.253136,-0.388200,-0.117180,1.248393,-0.917393,1.132705,1.256142,-0.476007,-0.111834,1.187183,-1.032486,1.103411,1.244867,-0.411520,-0.085930,1.210222,-0.905039,0.658072,1.584801,-0.087491,0.407355,1.581295,0.090948,0.647421,2.327296,-0.205657,0.400243,2.345961,0.159035,0.657577,3.008593,0.299320,0.427321,3.029776,0.428864,0.665668,3.101415,0.316054,0.425136,3.121524,0.436564,0.634959,3.192526,-0.264220,0.463096,3.237616,-0.183184
1.000000,0.063180,0.523483,0.396227,-0.904438,0.546202,0.325409,-0.845957,0.558657,0.324473,-0.846118,0.569399,0.325397,-0.846192,0.500587,0.326637,-0.841751,0.485169,0.326837,-0.841393,0.470117,0.329058,-0.841753,0.584467,0.347027,-0.494890,0.448267,0.353255,-0.464260,0.549746,0.469492,-0.780299,0.496988,0.475570,-0.770314,0.702463,0.692950,-0.296952,0.342046,0.722256,-0.322165,0.899501,0.846111,-0.168887,0.114621,0.878858,-0.554549,1.117956,0.880764,-0.428216,-0.090447,0.938938,-1.169487,1.197540,0.928048,-0.438579,-0.172428,0.993312,-1.280979,1.186492,0.901966,-0.585256,-0.159327,0.939183,-1.379127,1.153450,0.918154,-0.507999,-0.131236,0.959023,-1.238778,0.657479,1.584929,-0.069992,0.406890,1.582293,0.072516,0.648708,2.318190,-0.163236,0.405807,2.336610,0.053127,0.663253,2.998319,0.359204,0.437269,3.019079,0.312086,0.668603,3.090342,0.378953,0.436059,3.107147,0.319441,0.657065,3.179028,-0.175359,0.469883,3.216287,-0.269646
2.000000,0.126820,0.523609,0.396337,-1.148154,0.546111,0.325482,-1.082989,0.558473,0.324521,-1.083085,0.569166,0.325405,-1.083192,0.500835,0.327428,-1.088033,0.485772,0.327985,-1.087987,0.471120,0.330501,-1.088408,0.583856,0.347020,-0.684548,0.448280,0.354412,-0.693096,0.549559,0.469246,-1.002864,0.497594,0.475539,-1.004854,0.703084,0.691029,-0.460238,0.333051,0.717840,-0.526099,0.929073,0.745460,-0.337715,0.073115,0.769713,-0.592092,1.142645,0.755908,-0.599717,-0.183827,0.741559,-0.967135,1.212619,0.763663,-0.634773,-0.246827,0.734174,-1.043104,1.195531,0.738552,-0.745122,-0.231488,0.694456,-1.157330,1.165626,0.753952,-0.670295,-0.207825,0.718577,-1.036313,0.657544,1.585035,-0.076181,0.406806,1.585622,0.077779,0.654953,2.315597,0.028778,0.413005,2.336366,0.242915,0.670729,2.980770,0.715960,0.445996,3.007938,0.774271,0.672343,3.067891,0.754401,0.445721,3.093552,0.811621,0.676387,3.169500,0.187772,0.476176,3.201159,0.184435
3.000000,0.190656,0.523731,0.396426,-1.134179,0.546094,0.325529,-1.072229,0.558425,0.324531,-1.072336,0.569152,0.325282,-1.072565,0.501035,0.327927,-1.072411,0.486229,0.328776,-1.072340,0.471761,0.331596,-1.072667,0.583751,0.346678,-0.697319,0.448255,0.355727,-0.679206,0.549462,0.469117,-0.998368,0.497972,0.475535,-0.993076,0.706462,0.666921,-0.569343,0.331052,0.709855,-0.528431,0.944367,0.571802,-0.591762,0.056095,0.601750,-0.563413,1.134674,0.558345,-0.836788,-0.241574,0.454878,-0.894252,1.197382,0.547600,-0.882105,-0.315385,0.409350,-0.961634,1.172027,0.533570,-0.958224,-0.300786,0.389021,-1.076632,1.146019,0.549976,-0.895807,-0.276607,0.422669,-0.965464,0.658315,1.597313,-0.110185,0.409434,1.609803,0.110689,0.663461,2.320840,0.140264,0.420346,2.351284,0.400703,0.682726,2.976590,0.902749,0.455294,3.007021,1.039339,0.682573,3.060589,0.952193,0.455327,3.088853,1.088192,0.695249,3.170658,0.406542,0.490756,3.202503,0.463942
4.000000,0.253472,0.523657,0.398238,-1.053830,0.545873,0.326789,-0.994006,0.558320,0.325553,-0.994073,0.569151,0.325990,-0.994272,0.500908,0.329568,-0.993186,0.486108,0.330537,-0.992908,0.471785,0.333375,-0.993229,0.583788,0.346669,-0.627716,0.448184,0.356495,-0.605942,0.549399,0.469617,-0.921421,0.497993,0.476003,-0.914769,0.706814,0.648906,-0.488604,0.331260,0.689528,-0.456541,0.937034,0.441835,-0.561467,0.075322,0.496954,-0.512635,1.117069,0.244934,-0.829116,-0.179877,0.276002,-0.665184,1.184030,0.162231,-0.894285,-0.259832,0.292757,-0.729633,1.163726,0.150150,-0.952578,-0.239271,0.265075,-0.829963,1.145425,0.187337,-0.883507,-0.215583,0.292791,-0.731313,0.657507,1.601584,-0.114069,0.409057,1.610894,0.115315,0.658499,2.321915,0.054468,0.414000,2.351505,0.320987,0.669188,2.975723,0.718917,0.431619,3.003701,0.834595,0.669086,3.059191,0.758438,0.432335,3.082846,0.869197,0.671737,3.171772,0.213781,0.457002,3.203470,0.257414
5.000000,0.316489,0.522078,0.400592,-0.893554,0.544203,0.328992,-0.834255,0.557204,0.327853,-0.834143,0.568195,0.328279,-0.833977,0.499090,0.331427,-0.819394,0.484396,0.332322,-0.819193,0.470316,0.334955,-0.819465,0.583640,0.347892,-0.496159,0.448027,0.356971,-0.412181,0.548109,0.472388,-0.779874,0.497005,0.477677,-0.754756,0.706395,0.640979,-0.437496,0.331335,0.675469,-0.227309,0.903010,0.407529,-0.512188,0.109510,0.477191,0.122408,1.065710,0.132774,-0.818971,-0.052963,0.197532,0.350479,1.116766,0.069383,-0.893532,-0.114830,0.154451,0.359050,1.101613,0.065984,-0.958460,-0.096717,0.121436,0.306949,1.082071,0.096859,-0.879058,-0.078737,0.141142,0.315291,0.656710,1.603995,-0.121232,0.408926,1.611738,0.123886,0.651146,2.322107,-0.091698,0.408569,2.347903,0.236679,0.661148,2.976004,0.471178,0.425180,2.987457,0.575492,0.664157,3.061165,0.500293,0.423591,3.063367,0.591408,0.650797,3.171529,-0.009677,0.456364,3.196419,0.031774
