Frame,Time,NOSE,NOSE,NOSE,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE_INNER,LEFT_EYE,LEFT_EYE,LEFT_EYE,LEFT_EYE_OUTER,LEFT_EYE_OUTER,LEFT_EYE_OUTER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE_INNER,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,RIGHT_EYE_OUTER,LEFT_EAR,LEFT_EAR,LEFT_EAR,RIGHT_EAR,RIGHT_EAR,RIGHT_EAR,MOUTH_LEFT,MOUTH_LEFT,MOUTH_LEFT,MOUTH_RIGHT,MOUTH_RIGHT,MOUTH_RIGHT,LEFT_SHOULDER,LEFT_SHOULDER,LEFT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,RIGHT_SHOULDER,LEFT_ELBOW,LEFT_ELBOW,LEFT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,RIGHT_ELBOW,LEFT_WRIST,LEFT_WRIST,LEFT_WRIST,RIGHT_WRIST,RIGHT_WRIST,RIGHT_WRIST,LEFT_PINKY,LEFT_PINKY,LEFT_PINKY,RIGHT_PINKY,RIGHT_PINKY,RIGHT_PINKY,LEFT_INDEX,LEFT_INDEX,LEFT_INDEX,RIGHT_INDEX,RIGHT_INDEX,RIGHT_INDEX,LEFT_THUMB,LEFT_THUMB,LEFT_THUMB,RIGHT_THUMB,RIGHT_THUMB,RIGHT_THUMB,LEFT_HIP,LEFT_HIP,LEFT_HIP,RIGHT_HIP,RIGHT_HIP,RIGHT_HIP,LEFT_KNEE,LEFT_KNEE,LEFT_KNEE,RIGHT_KNEE,RIGHT_KNEE,RIGHT_KNEE,LEFT_ANKLE,LEFT_ANKLE,LEFT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,RIGHT_ANKLE,LEFT_HEEL,LEFT_HEEL,LEFT_HEEL,RIGHT_HEEL,RIGHT_HEEL,RIGHT_HEEL,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,LEFT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX,RIGHT_FOOT_INDEX
,,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,0.529993,0.585987,-0.465843,0.542140,0.547697,-0.430543,0.550197,0.545724,-0.430500,0.557080,0.544424,-0.430341,0.518502,0.552444,-0.422695,0.510644,0.553925,-0.422671,0.502758,0.555595,-0.422783,0.568288,0.555743,-0.208710,0.496258,0.563813,-0.158142,0.547489,0.624327,-0.385943,0.520282,0.627445,-0.373036,0.641035,0.743955,-0.099333,0.452936,0.764813,0.001497,0.780610,0.823163,-0.337616,0.307544,0.798992,-0.204574,0.742620,0.574204,-0.574284,0.347129,0.569058,-0.585532,0.734804,0.504559,-0.635422,0.355618,0.510354,-0.664135,0.717806,0.491835,-0.605690,0.371072,0.501948,-0.618066,0.715003,0.516359,-0.573809,0.374007,0.526840,-0.585694,0.622673,1.283865,-0.056213,0.479629,1.293782,0.058343,0.618959,1.748560,-0.116481,0.481074,1.752702,0.025545,0.618404,2.151733,0.105062,0.487235,2.159348,0.131613,0.624359,2.204757,0.107028,0.486550,2.213515,0.132901,0.595140,2.270556,-0.209526,0.503944,2.287133,-0.194513
1.000000,0.080695,0.530046,0.585578,-0.471384,0.542231,0.547344,-0.434752,0.550286,0.545380,-0.434685,0.557210,0.544111,-0.434498,0.518870,0.552130,-0.423680,0.511058,0.553644,-0.423613,0.503276,0.555350,-0.423678,0.568963,0.555697,-0.216838,0.496699,0.563830,-0.157041,0.547493,0.623998,-0.395198,0.520331,0.627115,-0.378636,0.641023,0.743294,-0.128021,0.452611,0.764783,-0.011488,0.779782,0.784676,-0.410425,0.307576,0.768981,-0.258332,0.747429,0.534165,-0.658325,0.346295,0.536531,-0.676153,0.743041,0.464159,-0.728988,0.350880,0.466622,-0.766115,0.726851,0.453935,-0.686563,0.366350,0.460756,-0.720548,0.724015,0.478371,-0.654067,0.370137,0.487112,-0.680117,0.624265,1.294416,-0.057700,0.482491,1.300824,0.059932,0.620017,1.758262,-0.128563,0.483437,1.758219,0.009631,0.618114,2.160090,0.082313,0.487170,2.163903,0.080426,0.624026,2.215097,0.082786,0.486480,2.218635,0.076769,0.594743,2.276586,-0.236481,0.503761,2.292904,-0.248925
2.000000,0.162338,0.530542,0.586232,-0.475373,0.542430,0.547933,-0.438120,0.550502,0.546004,-0.438062,0.557429,0.544714,-0.437886,0.519461,0.552474,-0.425085,0.511867,0.553898,-0.424951,0.504330,0.555504,-0.425021,0.569440,0.556212,-0.221712,0.497227,0.564230,-0.155654,0.547772,0.624915,-0.400731,0.520792,0.627697,-0.381330,0.642211,0.743694,-0.133085,0.452552,0.764913,-0.010500,0.779189,0.752175,-0.391548,0.309539,0.735566,-0.109621,0.747611,0.473584,-0.656648,0.343909,0.496518,-0.350753,0.744687,0.414338,-0.716377,0.346081,0.430340,-0.421996,0.730151,0.406605,-0.667467,0.362148,0.426167,-0.387869,0.728659,0.427481,-0.639171,0.365970,0.447762,-0.355284,0.625680,1.302221,-0.057782,0.483553,1.305214,0.060101,0.624891,1.762195,-0.134148,0.487818,1.759435,-0.001017,0.619894,2.162211,0.079385,0.486939,2.164850,0.074218,0.625537,2.217116,0.081368,0.485270,2.219557,0.070805,0.595946,2.282661,-0.239469,0.503481,2.297728,-0.269342
3.000000,0.243966,0.531389,0.588647,-0.472907,0.542735,0.549933,-0.436111,0.550812,0.548003,-0.436053,0.557696,0.546560,-0.435790,0.519964,0.554052,-0.424789,0.512432,0.555341,-0.424647,0.504944,0.556776,-0.424802,0.569658,0.557702,-0.215324,0.497385,0.565348,-0.154329,0.548340,0.627264,-0.396995,0.521793,0.630370,-0.379200,0.642972,0.747559,-0.127560,0.451436,0.765066,-0.028922,0.778766,0.720139,-0.287033,0.316605,0.703359,-0.084122,0.750476,0.441433,-0.470777,0.342885,0.456375,-0.202522,0.752145,0.381872,-0.534998,0.343267,0.393610,-0.265035,0.738344,0.370896,-0.518516,0.357627,0.383897,-0.237265,0.735687,0.392559,-0.478708,0.360827,0.406333,-0.207263,0.628363,1.311337,-0.049009,0.483854,1.318601,0.051583,0.631716,1.764900,-0.094916,0.491803,1.762839,-0.011209,0.625912,2.162557,0.167893,0.487221,2.166666,0.077320,0.630161,2.217417,0.175161,0.485309,2.221867,0.072793,0.604629,2.286826,-0.146069,0.504962,2.302085,-0.258063
4.000000,0.325432,0.532399,0.590372,-0.471319,0.543415,0.552112,-0.432175,0.551244,0.550669,-0.432165,0.557974,0.549596,-0.431839,0.521381,0.555008,-0.422487,0.514065,0.556065,-0.422373,0.506656,0.557356,-0.422596,0.569649,0.561424,-0.208677,0.498212,0.566685,-0.153361,0.548502,0.629650,-0.394968,0.522416,0.631141,-0.378661,0.642376,0.750761,-0.119785,0.451384,0.765722,-0.027083,0.774799,0.689105,-0.293209,0.322360,0.662095,-0.047012,0.757517,0.404974,-0.486497,0.342113,0.414546,-0.129181,0.760674,0.342158,-0.558461,0.340998,0.347545,-0.190402,0.748128,0.329718,-0.543791,0.354291,0.336952,-0.170494,0.744482,0.355714,-0.497420,0.357980,0.364504,-0.137968,0.627777,1.319974,-0.050019,0.484525,1.329882,0.052701,0.630262,1.766290,-0.112726,0.492891,1.767291,-0.009208,0.626424,2.162843,0.132083,0.487587,2.172122,0.081438,0.631089,2.217596,0.137683,0.486119,2.231743,0.078274,0.604565,2.287397,-0.181718,0.504512,2.304353,-0.254987
5.000000,0.411444,0.532406,0.593066,-0.428403,0.543525,0.555018,-0.380868,0.551372,0.554162,-0.380822,0.558133,0.553695,-0.380424,0.521422,0.556644,-0.370021,0.514127,0.557424,-0.369931,0.506774,0.558546,-0.370145,0.569748,0.566459,-0.161158,0.499139,0.568648,-0.099107,0.548556,0.632738,-0.355614,0.522408,0.632649,-0.338605,0.642096,0.751907,-0.096114,0.451178,0.765710,-0.002790,0.766946,0.660478,-0.258182,0.329378,0.625121,-0.030334,0.764193,0.376726,-0.448220,0.342351,0.367706,-0.153030,0.768997,0.305490,-0.521751,0.339387,0.296361,-0.221704,0.755555,0.298512,-0.512450,0.352979,0.291557,-0.206885,0.751092,0.324957,-0.462217,0.357582,0.315981,-0.165746,0.629339,1.321510,-0.052769,0.486330,1.331019,0.055653,0.632242,1.765900,-0.147508,0.495477,1.766835,-0.033028,0.629120,2.162779,0.085712,0.487998,2.172495,0.030145,0.633708,2.217960,0.088894,0.486325,2.233810,0.024155,0.606427,2.287705,-0.241586,0.505120,2.304289,-0.320891
6.000000,0.491200,0.532477,0.593432,-0.408861,0.543555,0.555383,-0.359199,0.551373,0.554717,-0.359155,0.558133,0.554540,-0.358820,0.521580,0.556921,-0.352272,0.514397,0.557767,-0.352213,0.507201,0.559072,-0.352451,0.569488,0.569099,-0.136172,0.500661,0.570219,-0.093325,0.548671,0.633382,-0.334289,0.522884,0.633219,-0.323119,0.638761,0.753093,-0.080184,0.451230,0.765555,-0.016153,0.748857,0.625313,-0.259284,0.339185,0.603537,-0.092111,0.768772,0.340979,-0.455231,0.340939,0.322282,-0.275283,0.776383,0.268891,-0.531687,0.337635,0.261224,-0.352067,0.762432,0.262258,-0.524872,0.350830,0.259495,-0.335567,0.757636,0.286656,-0.471729,0.354766,0.277728,-0.288846,0.628954,1.322718,-0.053002,0.486702,1.332721,0.055845,0.631320,1.760511,-0.146417,0.494556,1.760692,-0.027357,0.629037,2.153603,0.088542,0.484480,2.169168,0.044855,0.633171,2.208653,0.092447,0.482439,2.233079,0.040511,0.603617,2.284643,-0.228537,0.498703,2.293679,-0.295609
7.000000,0.569970,0.532477,0.591281,-0.404258,0.543607,0.553178,-0.356314,0.551372,0.553023,-0.356291,0.558127,0.553471,-0.356059,0.522087,0.554425,-0.351097,0.515237,0.555454,-0.351107,0.508395,0.557233,-0.351338,0.568980,0.568925,-0.142373,0.503787,0.569865,-0.104482,0.548373,0.631946,-0.331324,0.523042,0.631119,-0.322656,0.630380,0.752980,-0.095231,0.452737,0.763433,-0.048412,0.729250,0.598434,-0.267257,0.350538,0.570035,-0.171366,0.768006,0.315007,-0.488756,0.339391,0.285660,-0.329877,0.779706,0.244576,-0.561695,0.332847,0.231943,-0.402883,0.766895,0.240265,-0.541782,0.343960,0.226782,-0.386664,0.760820,0.261999,-0.500724,0.349384,0.242058,-0.342907,0.621262,1.303152,-0.053104,0.486589,1.311267,0.055989,0.614744,1.688650,-0.188319,0.484946,1.673239,-0.069921,0.617743,2.079073,0.024059,0.475372,2.100133,-0.008145,0.620301,2.135167,0.029103,0.475966,2.169287,-0.014825,0.595159,2.204430,-0.254100,0.478499,2.209232,-0.309371
8.000000,0.648875,0.532857,0.590084,-0.501764,0.543961,0.551556,-0.457626,0.551528,0.551806,-0.457605,0.558271,0.552729,-0.457546,0.523128,0.551794,-0.458550,0.516508,0.552372,-0.458659,0.509804,0.553832,-0.458850,0.569005,0.568811,-0.234634,0.505687,0.566988,-0.231943,0.548337,0.631192,-0.420242,0.523427,0.629395,-0.420131,0.622795,0.749477,-0.165025,0.454925,0.754947,-0.163618,0.717141,0.562872,-0.327480,0.357998,0.533825,-0.304791,0.768744,0.295358,-0.535785,0.337374,0.258197,-0.453784,0.782555,0.227922,-0.610913,0.326269,0.200844,-0.527753,0.771319,0.223415,-0.627809,0.335899,0.191511,-0.524553,0.765169,0.244984,-0.563694,0.343864,0.211403,-0.469898,0.621330,1.287472,-0.039453,0.494516,1.299795,0.041460,0.615106,1.679284,-0.152246,0.495932,1.669396,-0.061930,0.626366,2.058473,0.080915,0.488838,2.094380,0.018040,0.626390,2.111510,0.090216,0.490103,2.162035,0.012482,0.614063,2.180827,-0.180400,0.492217,2.198623,-0.295058
