Frame,Time,Accl,Accl,Accl,Gyro,Gyro,Gyro,Mag,Mag,Mag
,,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,-9.270000,-0.350000,4.030000,-5.820000,-56.189999,-3.010000,-77.000000,-102.000000,11.000000
1.000000,0.010000,-9.270000,-0.350000,4.030000,0.481398,-86.799377,-1.314516,-77.000000,-102.000000,11.000000
2.000000,0.020000,-9.270000,-0.350000,4.030000,9.495510,-109.347748,-0.318061,-73.955780,-102.608841,9.173470
3.000000,0.030000,-10.593340,-0.840231,2.998532,18.213772,-122.575096,0.881588,-72.000000,-103.000000,8.000000
4.000000,0.040000,-13.716856,-1.997336,0.563928,26.106167,-124.380989,2.466756,-72.000000,-103.000000,8.000000
5.000000,0.050000,-13.940000,-2.080000,0.390000,31.092188,-124.510002,0.832272,-72.000000,-103.000000,8.000000
6.000000,0.060000,-13.940000,-2.080000,0.390000,52.710754,-124.510002,3.106392,-72.000000,-103.000000,8.000000
7.000000,0.070000,-13.940000,-2.080000,0.390000,96.167801,-124.510002,10.765344,-72.000000,-103.000000,8.000000
8.000000,0.080000,-13.940000,-2.080000,0.390000,114.255127,-124.510002,41.904259,-72.000000,-103.000000,8.000000
9.000000,0.090000,-14.797393,-3.050686,-2.105252,124.510002,-124.510002,70.002327,-72.000000,-103.000000,8.000000
10.000000,0.100000,-18.676649,-7.442536,-13.394961,124.510002,-124.510002,71.324944,-72.000000,-103.000000,8.000000
11.000000,0.110000,-20.070000,-9.020000,-17.450001,124.510002,-124.510002,72.923317,-72.000000,-103.000000,8.000000
12.000000,0.120000,-20.070000,-9.020000,-17.450001,121.992157,-124.510002,73.442024,-72.800194,-100.106987,6.738154
13.000000,0.130000,-20.070000,-9.020000,-17.450001,70.816452,-124.510002,50.109257,-89.064323,-41.305904,-18.909126
14.000000,0.140000,-20.070000,-9.020000,-17.450001,19.985260,-124.510002,28.868761,-98.000000,-9.000000,-33.000000
15.000000,0.150000,-20.070000,-9.020000,-17.450001,-30.425846,-124.510002,10.179399,-98.000000,-9.000000,-33.000000
16.000000,0.160000,-10.666025,4.852339,-18.857105,-70.166946,-124.510002,-26.790735,-98.000000,-9.000000,-33.000000
17.000000,0.170000,-2.560000,16.809999,-20.070000,-102.308960,-124.510002,-64.370308,-98.000000,-9.000000,-33.000000
18.000000,0.180000,-2.560000,16.809999,-20.070000,-118.102921,-124.510002,-95.013336,-98.000000,-9.000000,-33.000000
19.000000,0.190000,-2.560000,16.809999,-20.070000,-98.662842,-124.510002,-113.820572,-98.000000,-9.000000,-33.000000
20.000000,0.200000,-2.560000,16.809999,-20.070000,-61.753136,-124.510002,-124.510002,-98.000000,-9.000000,-33.000000
21.000000,0.210000,-2.560000,16.809999,-20.070000,-26.657871,-124.510002,-124.510002,-98.000000,-9.000000,-33.000000
22.000000,0.220000,6.622570,10.375706,-19.538206,21.191326,-123.543839,-117.621048,-104.495186,30.783016,-7.831154
23.000000,0.230000,20.059999,0.960000,-18.760000,72.019798,-119.823624,-105.578690,-114.000000,89.000000,29.000000
24.000000,0.240000,20.059999,0.960000,-18.760000,69.027817,-89.847336,-80.087234,-114.000000,89.000000,29.000000
25.000000,0.250000,20.059999,0.960000,-18.760000,65.771088,-75.335098,-61.398193,-114.000000,89.000000,29.000000
26.000000,0.260000,20.059999,0.960000,-18.760000,62.230606,-77.396721,-49.999733,-114.000000,89.000000,29.000000
27.000000,0.270000,20.059999,0.960000,-18.760000,51.320728,-92.839760,-14.559044,-114.000000,89.000000,29.000000
28.000000,0.280000,19.597736,1.637741,-15.120827,41.416664,-103.479546,16.985847,-114.000000,89.000000,29.000000
29.000000,0.290000,18.027866,3.939381,-2.762020,36.175434,-98.519760,31.846436,-114.000000,89.000000,29.000000
30.000000,0.300000,17.549999,4.640000,1.000000,26.877075,-60.906075,34.704739,-114.000000,89.000000,29.000000
31.000000,0.310000,17.549999,4.640000,1.000000,16.247171,-10.639894,30.610960,-114.250359,89.000000,30.001440
32.000000,0.320000,17.549999,4.640000,1.000000,9.614908,24.882484,11.208929,-116.755463,89.000000,40.021858
33.000000,0.330000,17.549999,4.640000,1.000000,-0.750755,61.745926,-13.605948,-118.000000,89.000000,45.000000
34.000000,0.340000,17.549999,4.640000,1.000000,-14.802336,99.933388,-43.764828,-118.000000,89.000000,45.000000
35.000000,0.350000,15.526114,3.514356,1.238773,-17.265440,73.715714,-32.706852,-118.000000,89.000000,45.000000
36.000000,0.360000,13.990000,2.660000,1.420000,-18.953754,42.106026,-15.999603,-118.000000,89.000000,45.000000
37.000000,0.370000,13.990000,2.660000,1.420000,-21.537348,13.067211,3.930960,-118.000000,89.000000,45.000000
38.000000,0.380000,13.990000,2.660000,1.420000,-11.363243,-15.620146,20.871103,-118.000000,89.000000,45.000000
