Frame,Time,Accl,Accl,Accl,Gyro,Gyro,Gyro,Mag,Mag,Mag
,,X,Y,Z,X,Y,Z,X,Y,Z
0.000000,0.000000,-10.780000,-1.030000,3.340000,8.200000,-74.900002,-28.680000,-73.000000,-108.000000,14.000000
1.000000,0.010000,-10.780000,-1.030000,3.340000,8.200000,-74.900002,-28.680000,-73.000000,-108.000000,14.000000
2.000000,0.020000,-10.780000,-1.030000,3.340000,22.296955,-96.106865,-37.659531,-73.000000,-108.000000,14.000000
3.000000,0.030000,-11.495984,-1.283373,2.954219,40.223061,-116.219955,-50.356403,-73.000000,-108.000000,14.000000
4.000000,0.040000,-14.236173,-2.253075,1.477770,61.781719,-122.419792,-68.980927,-73.000000,-108.000000,14.000000
5.000000,0.050000,-15.160000,-2.580000,0.980000,77.973709,-124.510002,-69.727058,-73.000000,-108.000000,14.000000
6.000000,0.060000,-15.160000,-2.580000,0.980000,91.735352,-124.510002,-61.035873,-73.000000,-108.000000,14.000000
7.000000,0.070000,-15.160000,-2.580000,0.980000,113.001709,-124.510002,-43.713829,-73.000000,-108.000000,14.000000
8.000000,0.080000,-15.160000,-2.580000,0.980000,124.510002,-124.510002,-26.260649,-73.000000,-108.000000,14.000000
9.000000,0.090000,-15.160000,-2.580000,0.980000,124.510002,-124.510002,-8.652822,-73.000000,-108.000000,14.000000
10.000000,0.100000,-17.881386,-6.182649,-8.863544,124.510002,-124.510002,7.236341,-74.662758,-91.372391,-9.278652
11.000000,0.110000,-20.070000,-9.080000,-16.780001,124.510002,-124.510002,23.318674,-76.000000,-78.000000,-28.000000
12.000000,0.120000,-20.070000,-9.080000,-16.780001,124.510002,-124.510002,40.430016,-76.000000,-78.000000,-28.000000
13.000000,0.130000,-20.070000,-9.080000,-16.780001,124.510002,-124.510002,32.753311,-76.000000,-78.000000,-28.000000
14.000000,0.140000,-20.070000,-9.080000,-16.780001,124.510002,-124.510002,15.089801,-76.000000,-78.000000,-28.000000
15.000000,0.150000,-20.070000,-9.080000,-16.780001,124.510002,-124.510002,5.938475,-76.000000,-78.000000,-28.000000
16.000000,0.160000,-13.876875,-3.217576,-17.878996,124.506660,-124.510002,-8.848280,-76.000000,-78.000000,-28.000000
17.000000,0.170000,-1.530000,8.470000,-20.070000,124.488365,-124.510002,-29.212225,-76.000000,-78.000000,-28.000000
18.000000,0.180000,-1.530000,8.470000,-20.070000,122.540077,-124.510002,-34.610058,-76.000000,-78.000000,-28.000000
19.000000,0.190000,-1.530000,8.470000,-20.070000,109.455765,-124.510002,-55.962196,-88.368439,-32.014793,-12.777311
20.000000,0.200000,-1.530000,8.470000,-20.070000,85.552452,-124.510002,-92.814430,-112.753189,58.646469,17.234692
21.000000,0.210000,-1.530000,8.470000,-20.070000,71.946617,-124.510002,-110.104301,-115.000000,67.000000,20.000000
22.000000,0.220000,2.783129,9.087303,-19.882212,61.835754,-124.510002,-117.095879,-115.000000,67.000000,20.000000
23.000000,0.230000,16.313242,11.023758,-19.293129,56.960152,-124.510002,-106.323174,-115.000000,67.000000,20.000000
24.000000,0.240000,20.059999,11.560000,-19.129999,59.239334,-124.510002,-94.345955,-115.000000,67.000000,20.000000
25.000000,0.250000,20.059999,11.560000,-19.129999,63.605640,-124.407906,-79.738716,-115.000000,67.000000,20.000000
26.000000,0.260000,20.059999,11.560000,-19.129999,63.492794,-123.605446,-50.254490,-115.000000,67.000000,20.000000
27.000000,0.270000,20.059999,11.560000,-19.129999,60.053356,-112.476158,-24.117939,-115.000000,67.000000,20.000000
28.000000,0.280000,20.059999,11.560000,-19.129999,53.689163,-92.267487,-0.924683,-115.000000,67.000000,20.000000
29.000000,0.290000,20.001350,8.780042,-10.807719,51.888290,-82.712906,11.239291,-121.451378,64.067551,40.527122
30.000000,0.300000,19.959999,6.820000,-4.940000,47.422741,-63.076561,18.146231,-126.000000,62.000000,55.000000
31.000000,0.310000,19.959999,6.820000,-4.940000,37.170166,-22.407135,16.248100,-126.000000,62.000000,55.000000
32.000000,0.320000,19.959999,6.820000,-4.940000,24.300560,-5.705880,14.419481,-126.000000,62.000000,55.000000
33.000000,0.330000,19.959999,6.820000,-4.940000,7.280021,-0.770930,16.791920,-126.000000,62.000000,55.000000
34.000000,0.340000,19.959999,6.820000,-4.940000,-16.699272,-9.704268,27.119915,-126.000000,62.000000,55.000000
35.000000,0.350000,16.813263,6.273341,-1.999983,-22.528126,-18.290756,32.407890,-126.000000,62.000000,55.000000
